"Name","SM_Facebook_id","SM_Facebook_user"
Volker Wissing,"1566424690272923",Wissing.FDP
Manuela Strube,"1476178442417930",manuelastrube
,,sebastian.ruter.7
"Katja Poschmann","1461115060685372",PoschmannKatjaMdL
Stefan Klein im Landtag,"254967664613710",stefankleinimlandtag
Ralph Weber,"1715507535435647",Ralph Weber
Dennis Rohde,"435851583129781",dennis.rohde
Holger Arppe,"1002689313158729",arpperostock
Matthi Bolte,"175940639566",matthi.bolte
Dennis Maelzer,"184138247750",Lippe.HeimatmitZukunft
Marion Schneid  - Landtagsabgeordnete RLP,"455449171305067",Marion Schneid  - Landtagsabgeordnete RLP
"Stephan Pilsinger","1299185570141113",StephanNPilsinger
Frank Pasemann,"1308979889148955",PasemannAfD
,,julian.bruning.7
,,nicolas.fink.76
Antje Grotheer Vizepräsidentin der Bremischen Bürgerschaft,"141026292734282",antje.grotheer2
Madeleine Henfling,"351339874906957",madeleinehenfling
,,henkel.uli.1
"Melanie Kühnemann-Grunow","1154496837894668",MelanieKuehnemannSPD
Stefan Kaufmann,"64045221376",StefanKaufmannMdB
Angela Lück,"1428625620718096",Angela.Lueck.SPD
Michael  Weinreich - Für Wilhelmsburg in der Bürgerschaft,"156902081026932",Weinreich.Wilhelmsburg
,,jonas.urbach
Bürgerbüro Sören Voigt,"378217412568523",Soeren.Voigt.MdL
Sonja Bongers,"395877977412706",SonjaBongersSPD
Uwe Schünemann,"1403712706511292",UweSchunemannMdL
Wahlkreisbüro Matthias W. Birkwald,"1462362797365364",wahlkreisbuero.matthias.w.birkwald
Matthias Fischbach,"305522029945817",fischbachFDP
Ksenija Bekeris,"214273592472551",ksenijabekerisspd
Sebastian Zinke,"634398756756976",Sebastian.Zinke.MdL
Robert Timmann,"262374133919727",robert.timmann
,,"1456152790"
Manne Lucha,"102763253131232",ManneLucha
Farid Müller,"258769440656",farid.mueller
Bernd Vohl,"302762290272670",berndvohlmdl
Rüdiger Erben,"229397163831608",RuedigerErben
,,chris.hupe.7
Karsten Hilse,"358099231236311",Karsten.Hilse.Politiker
Gisela Manderla,"147409458760059",manderla.gisela
Meike Jensen - Politikerin,"1485706268371289",Meike.Jensen.Politikerin
Heinz Lotz,"121470284590893",LotzHeinz
"Gerd Schreiner","1061139863927676","Gerd Schreiner"
Dietrich Wersich,"1465267743693732",dietrichwersich
Jens Nacke,"700163470076783",jensnackelandtag
Sonja Steffen,"326696084399195",sonja.steffen.spd
Eva Marie Plonske,"1734548630102390",evamplonske
Elisabeth Motschmann,"123469994477140",ElisabethMotschmann
Gabi Rolland,"1007871102569854",rollandgabi
Andrea Lindholz,"409561472408666",andrea.lindholz
Christoph Zippel,"396628017558674",Zippel.CDU
Georg Fortmeier,"1777031469231996",GeorgFortmeierMdL
Michael Donth,"313433438777354",donth.cdu
MdB Brigitte Freihold,"141381513166439",MdBFreihold
Matthias Hauer,"126360456507",matthiashauer.cdu
Team Müller aus Berlin und Bayern,"413738542431902",Hansjoerg.mueller.bundestag
Barbara Klepsch,"2108519612545731",klepsch.barbara
Marcel Hafke,"1475411276096169",marcel.hafke.3
Claudia Maicher,"1907980712634073",claudiamaicher.mdl
Team Kretschmer,"273989883275107",teamkretschmer.sachsen
Felix Teichner,"366764017362441",Felix Teichner
